GeneID,Log2FoldChange,p-value,Adjustedp-value
"MSTRG.8780",-1.80006257961725,8.5165681989912e-23,2.43848112856878e-20
"MSTRG.2169",0.740407081174055,4.91521565787482e-19,7.76006898210088e-17
"MSTRG.16341",-2.7751762289249,1.21604032237085e-18,1.81792647485051e-16
"MSTRG.12022",-0.487066041733135,1.26240630119977e-07,2.71666619696404e-06
"MSTRG.6972",-3.33401645225117,5.62789791185471e-15,4.75360397124808e-13
"MSTRG.6236",-3.32182718469858,2.16068021690358e-38,1.92107215285012e-35
"MSTRG.3011",-3.68240933566354,2.33270752831573e-14,1.80763432457971e-12
"MSTRG.8324",-0.436004973646684,2.40877041766942e-06,3.64944920768515e-05
"MSTRG.4837",-4.51877545133978,6.0547625402114e-21,1.25819559711019e-18
"MSTRG.16739",3.91267022251263,4.41746100547683e-09,1.300072626577e-07
"MSTRG.11443",-1.22985452551643,2.79248817195355e-28,1.24140796549503e-25
"MSTRG.8401",0.203813808974654,8.41892915078973e-05,0.000801696562256431
"MSTRG.3137",-5.90292375553521,2.12115380777202e-21,4.84225017225577e-19
"MSTRG.15360",3.89103037093137,5.00420832616586e-16,4.88647926323236e-14
"MSTRG.14484",1.0988494501058,3.6868070355589e-33,2.70787961963898e-30
"MSTRG.8283",-0.662207832406529,6.42582450855797e-07,1.14264687813758e-05
"MSTRG.1072",4.03746630399579,7.90820932221916e-19,1.2144852734568e-16
"MSTRG.10723",-1.04576580744866,0.000142370928821296,0.00125985966504879
"MSTRG.2744",0.815292332434371,1.18431224183093e-09,3.8999194349415e-08
"MSTRG.12049",2.72098448584494,6.70679821914035e-31,3.90682559710131e-28
"MSTRG.17359",1.70633932461701,1.09614100935306e-29,5.97326131322622e-27
"MSTRG.1570",1.26353808489003,1.8210310519719e-28,8.43051474425811e-26
"MSTRG.15704",2.48439503948155,0.00125583813234593,0.00778527470448434
"MSTRG.10904",0.458817240807482,1.29118828065988e-13,8.6900572211902e-12
"MSTRG.6765",-4.08936434493283,1.36301010371035e-38,1.43908310512368e-35
"MSTRG.7021",0.636978805498333,1.09763582335817e-15,1.03013122022164e-13
"MSTRG.7020",1.69294724292978,4.67475415569187e-09,1.37340212090613e-07
"MSTRG.7023",0.531022617343901,1.91223348241189e-05,0.000222781794609546
"MSTRG.702",0.626707185901823,0.000506300261889418,0.00361340529112714
"MSTRG.7029",0.705925076850418,0.00149312495279992,0.00894445383959188
"MSTRG.1866",-0.810174399284117,5.66491504441452e-20,1.0874705664238e-17
"MSTRG.12021",3.91761907383938,2.458922028779e-23,7.69232774669698e-21
"MSTRG.13757",-1.110358051147,4.48860396658421e-25,1.61331886824483e-22
"MSTRG.17133",0.606385830138667,1.00607608940461e-09,3.38558633034105e-08
"MSTRG.15449",0.47844991551248,2.78457928969827e-13,1.80229494026333e-11
"MSTRG.5907",-2.75757338796714,7.3942760952446e-20,1.38790562307741e-17
"MSTRG.2866",-4.63125999900696,8.02960553737404e-11,3.39110315857149e-09
"MSTRG.16363",-1.11546616757056,3.89206428527908e-15,3.37172522929331e-13
"MSTRG.14682",-0.60209465196133,1.50192971976731e-10,5.99813209362393e-09
"MSTRG.12955",2.9515880010532,1.62847961108439e-24,5.50198121400971e-22
"MSTRG.12188",0.938795280121183,3.76140730491579e-18,5.0833162881554e-16
"MSTRG.10234",-0.50357601868852,0.000142908074373488,0.00126262871359379
"MSTRG.3461",1.14863999657625,4.38758778023121e-15,3.7245990136405e-13
