"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.825",335.400748760157,-3.38069148746623,0.359782452870987,-9.39648796234789,5.64147114141106e-21,1.19126714989821e-18
"MSTRG.4837",349.565364494763,-4.51877545133978,0.48128177105632,-9.3890434317135,6.0547625402114e-21,1.25819559711019e-18
"MSTRG.4771",41.3064084365325,3.18472980097615,0.339229342817997,9.38813185946834,6.10738406221721e-21,1.25819559711019e-18
"MSTRG.4533",80.9619227217106,2.403100701714,0.258976285717603,9.27923070274634,1.70706604757436e-20,3.47439358333417e-18
"MSTRG.3088",1093.176696801,1.39791119209625,0.150775561782956,9.27147062538265,1.83596788777561e-20,3.69226256288016e-18
"MSTRG.10377",821.025334959998,1.26544456742171,0.1369752111478,9.23849327785494,2.49992577128938e-20,4.96838188875194e-18
"MSTRG.17855",151.663161230276,2.44531240109202,0.266531949897242,9.17455637883106,4.53437604999443e-20,8.90688542006464e-18
"MSTRG.11155",885.038502105645,-3.72778364987042,0.407051297405209,-9.15801932983278,5.28585489638958e-20,1.02636720419206e-17
"MSTRG.1866",1946.31209569773,-0.810174399284117,0.0885384156249855,-9.15054096648513,5.66491504441452e-20,1.0874705664238e-17
"MSTRG.2168",3031.60733687012,2.08077398142414,0.227582150225596,9.14295773794878,6.07671420047481e-20,1.15341497740024e-17
"MSTRG.5907",150.962689200918,-2.75757338796714,0.302308556964319,-9.12171794162152,7.3942760952446e-20,1.38790562307741e-17
"MSTRG.18433",1004.06480578833,1.44468289528813,0.158415087218114,9.11960420347476,7.53991854161844e-20,1.3996905925666e-17
"MSTRG.9414",92.7356239486463,-1.54532081163399,0.169632976707687,-9.10979009875478,8.25415094726934e-20,1.51562360817632e-17
"MSTRG.9596",1738.03239188946,0.984909342482906,0.108204949833568,9.10225774327158,8.847318042995e-20,1.60707251290661e-17
"MSTRG.125",5045.62063072604,0.591559282377469,0.0650361218264452,9.09585728306647,9.38431702408961e-20,1.6864815690207e-17
"MSTRG.4660",735.810514142311,1.03700581652054,0.114299902160355,9.07267457732113,1.16130715270052e-19,2.06504860321789e-17
"MSTRG.11306",318.61674663823,3.46069377380653,0.383085490308208,9.03373753733731,1.6590632286473e-19,2.91943282516029e-17
"MSTRG.12845",442.531750009347,-1.55617983953256,0.172643115790424,-9.01385399821933,1.9893948730146e-19,3.46462346286966e-17
"MSTRG.223",542.210137629806,-1.14999654830915,0.128048688601276,-8.98093186951769,2.68483061551239e-19,4.62804526406641e-17
"MSTRG.3800",46.0905482722246,-6.68979991057292,0.745875960777514,-8.96905150770559,2.9907868489951e-19,5.10336992323983e-17
"MSTRG.5626",375.66606432461,0.644130536889264,0.0718596737379467,8.96372754541357,3.13883927309904e-19,5.29550723727251e-17
"MSTRG.12130",813.061385170319,-1.90667360972091,0.212732508866572,-8.96277498855052,3.16608199233128e-19,5.29550723727251e-17
"MSTRG.3478",2819.09890807232,0.837542128659405,0.093591059454307,8.94895445721832,3.58865173679092e-19,5.94344056760873e-17
"MSTRG.2521",1220.61056820722,0.991013699935574,0.110992991226879,8.92861512228153,4.31374840660665e-19,7.07496619735982e-17
"MSTRG.5918",1435.56999134596,1.52147923602753,0.17052389269961,8.9223815615547,4.56366823044451e-19,7.41288917470184e-17
"MSTRG.17791",789.229247476413,-2.93504155402143,0.329137281301646,-8.91737800839263,4.77457748551109e-19,7.68161309168941e-17
"MSTRG.5455",241.405404197985,2.26957499404617,0.254573550282891,8.91520345112107,4.86921422645837e-19,7.75996565354351e-17
"MSTRG.2169",482.033883048689,0.740407081174055,0.0830596443409029,8.91416146853689,4.91521565787482e-19,7.76006898210088e-17
"MSTRG.18239",27538.7465662905,-2.22811788406352,0.250005444920961,-8.91227742966931,4.99948468193919e-19,7.82002728999989e-17
"MSTRG.17681",4617.98971677892,0.95822108443331,0.107744892344392,8.89342467734325,5.92538316285822e-19,9.18325667616183e-17
"MSTRG.1072",202.719645841354,4.03746630399579,0.455628782206668,8.86130653213307,7.90820932221916e-19,1.2144852734568e-16
"MSTRG.6199",172.363044971793,1.67740827774709,0.190179775620934,8.82011913343772,1.14338007258935e-18,1.74010086182449e-16
"MSTRG.13145",2283.78759778054,-2.35424399622718,0.267086999386142,-8.81452111723163,1.20197720252084e-18,1.81294650733791e-16
"MSTRG.16341",175.891557100172,-2.7751762289249,0.314887968292675,-8.81321774208118,1.21604032237085e-18,1.81792647485051e-16
"MSTRG.4709",573.246989094784,1.00387850689072,0.11399540578421,8.8063067102111,1.29336835193751e-18,1.91656768151582e-16
"MSTRG.5780",985.800288125838,-1.96836501389215,0.223880715509081,-8.7920257419952,1.46887102839956e-18,2.13910674851325e-16
"MSTRG.13436",2831.24110625269,0.396335963366536,0.0450778329443415,8.79225857764503,1.46582926876672e-18,2.13910674851325e-16
"MSTRG.14029",187.006126472141,1.55995542458449,0.177461168612488,8.79040432778214,1.49022668225591e-18,2.15165806353411e-16
"MSTRG.17237",1860.20335542067,1.55889944874038,0.177884267798644,8.76355997094115,1.89179192688587e-18,2.70830856109178e-16
"MSTRG.5707",141.760843645027,-5.23855441315945,0.598279467019867,-8.75603242620642,2.02243556884369e-18,2.87100874491398e-16
"MSTRG.12740",1128.99982193905,-3.47343924519483,0.397291526213213,-8.74279720562363,2.27408661431422e-18,3.20134543130084e-16
"MSTRG.11950",1381.89811273596,3.18916462847423,0.36500859662121,8.73723155562775,2.38892499023698e-18,3.33521569091515e-16
"MSTRG.5590",468.180205665793,-3.50031044802741,0.400784793428598,-8.73364086018152,2.46603274124201e-18,3.41464681129518e-16
"MSTRG.5331",1645.51846276302,-1.86411657717522,0.21375029606164,-8.72100114723425,2.75752643100834e-18,3.78722715439219e-16
"MSTRG.601",872.7524268498,-2.7066356945238,0.310876612870157,-8.70646289386288,3.13504531138755e-18,4.27099358429596e-16
"MSTRG.12188",2360.06081627856,0.938795280121183,0.108084121725698,8.68578349097115,3.76140730491579e-18,5.0833162881554e-16
"MSTRG.7814",131.163664520481,-1.89885999590998,0.219514903433521,-8.65025547791586,5.1384267433095e-18,6.88916214085138e-16
"MSTRG.10547",225.629409765904,2.87542560575323,0.333831426936386,8.61340597001719,7.09213991600007e-18,9.43366296070781e-16
