"","feature","id","fc","pval","qval"
"1","gene","MSTRG.17777",0.0148029589742944,3.05877302375634e-08,0.000313157182172175
"2","gene","MSTRG.3560",0.00860840982657503,1.15150257329333e-07,0.000412567936930319
"3","gene","MSTRG.5626",1.47713376878317,1.6931599255976e-07,0.000412567936930319
"4","gene","MSTRG.6053",0.286735811078345,1.75542090641301e-07,0.000412567936930319
"5","gene","MSTRG.3567",0.0182958793573596,2.01488541184958e-07,0.000412567936930319
"6","gene","MSTRG.13805",4.12640575234056,3.34642402677332e-07,0.000571011486435087
"7","gene","MSTRG.15803",0.0530515962965918,3.94095151623475e-07,0.000576392308903019
"8","gene","MSTRG.6771",0.310028005891688,6.00857602783833e-07,0.00076894751716261
"9","gene","MSTRG.6999",0.728477559497331,7.94451119112694e-07,0.000903732284163973
"10","gene","MSTRG.6235",0.0293104152340583,9.52877531990026e-07,0.000975556017251389
"11","gene","MSTRG.10637",1.8053822224232,1.1327496205471e-06,0.00105428096501466
"12","gene","MSTRG.14318",1.28875558336603,1.31457478025343e-06,0.00112155138335288
"13","gene","MSTRG.4500",0.574854717687219,1.64131448543436e-06,0.00129259828475977
"14","gene","MSTRG.17787",15.6211018480093,2.07060943258064e-06,0.00151420709791147
"15","gene","MSTRG.10946",0.163654215895911,2.74568689129229e-06,0.00187402282620336
"16","gene","MSTRG.5214",0.510695267109627,3.3216592594254e-06,0.00212544671862483
"17","gene","MSTRG.5413",3.81567607613852,3.67644968068959e-06,0.00215886367678617
"18","gene","MSTRG.5743",0.0266397989450329,3.82010750410444e-06,0.00215886367678617
"19","gene","MSTRG.1070",3.46399119768398,4.00648660470182e-06,0.00215886367678617
"20","gene","MSTRG.17611",0.60968263624757,4.23250200354275e-06,0.00216661777561353
"21","gene","MSTRG.8649",0.374723088172819,4.50585376510215e-06,0.0021967109927198
"22","gene","MSTRG.12849",0.200335935801761,5.32813897557993e-06,0.00239383077780456
"23","gene","MSTRG.15717",0.57856557441117,5.37781870380005e-06,0.00239383077780456
"24","gene","MSTRG.10970",0.0641728914670035,5.95616927867582e-06,0.00247622790514077
"25","gene","MSTRG.6850",0.0221794155717574,6.04665927217418e-06,0.00247622790514077
"26","gene","MSTRG.10148",0.0721852101047166,6.34575820401828e-06,0.00249876432664381
"27","gene","MSTRG.5624",8.48565190960786,6.75281559203711e-06,0.002560567630788
"28","gene","MSTRG.6035",1.47156489762367,7.01651808787673e-06,0.00256553972084579
"29","gene","MSTRG.6770",0.0222068735209369,7.46961476083552e-06,0.00260586298822868
"30","gene","MSTRG.6670",0.0575641800305247,7.63585560137336e-06,0.00260586298822868
"31","gene","MSTRG.5623",15.2857135815778,8.17137781838895e-06,0.00261553555486899
